Name,Age,Veteran,In Labor Force,Employed,Lower Age,Upper Age
B21005_001E,,,,,,
B21005_002E,18 to 34 years,,,,18,34
B21005_003E,18 to 34 years,TRUE,,,18,34
B21005_004E,18 to 34 years,TRUE,TRUE,,18,34
B21005_005E,18 to 34 years,TRUE,TRUE,TRUE,18,34
B21005_006E,18 to 34 years,TRUE,TRUE,FALSE,18,34
B21005_007E,18 to 34 years,TRUE,FALSE,,18,34
B21005_008E,18 to 34 years,FALSE,,,18,34
B21005_009E,18 to 34 years,FALSE,TRUE,,18,34
B21005_010E,18 to 34 years,FALSE,TRUE,TRUE,18,34
B21005_011E,18 to 34 years,FALSE,TRUE,FALSE,18,34
B21005_012E,18 to 34 years,FALSE,FALSE,,18,34
B21005_013E,35 to 54 years,,,,35,54
B21005_014E,35 to 54 years,TRUE,,,35,54
B21005_015E,35 to 54 years,TRUE,TRUE,,35,54
B21005_016E,35 to 54 years,TRUE,TRUE,TRUE,35,54
B21005_017E,35 to 54 years,TRUE,TRUE,FALSE,35,54
B21005_018E,35 to 54 years,TRUE,FALSE,,35,54
B21005_019E,35 to 54 years,FALSE,,,35,54
B21005_020E,35 to 54 years,FALSE,TRUE,,35,54
B21005_021E,35 to 54 years,FALSE,TRUE,TRUE,35,54
B21005_022E,35 to 54 years,FALSE,TRUE,FALSE,35,54
B21005_023E,35 to 54 years,FALSE,FALSE,,35,54
B21005_024E,55 to 64 years,,,,55,64
B21005_025E,55 to 64 years,TRUE,,,55,64
B21005_026E,55 to 64 years,TRUE,TRUE,,55,64
B21005_027E,55 to 64 years,TRUE,TRUE,TRUE,55,64
B21005_028E,55 to 64 years,TRUE,TRUE,FALSE,55,64
B21005_029E,55 to 64 years,TRUE,FALSE,,55,64
B21005_030E,55 to 64 years,FALSE,,,55,64
B21005_031E,55 to 64 years,FALSE,TRUE,,55,64
B21005_032E,55 to 64 years,FALSE,TRUE,TRUE,55,64
B21005_033E,55 to 64 years,FALSE,TRUE,FALSE,55,64
B21005_034E,55 to 64 years,FALSE,FALSE,,55,64
