group,index,variable,Sex,Lower Age,Upper Age,Age,Education
B15001,1,B15001_001E,All,18,999,All,All
B15001,2,B15001_002E,Male,18,999,All,All
B15001,3,B15001_003E,Male,18,24,18 to 24 years,All
B15001,4,B15001_004E,Male,18,24,18 to 24 years,Less than 9th grade
B15001,5,B15001_005E,Male,18,24,18 to 24 years,"9th to 12th grade, no diploma"
B15001,6,B15001_006E,Male,18,24,18 to 24 years,High school graduate (includes equivalency)
B15001,7,B15001_007E,Male,18,24,18 to 24 years,"Some college, no degree"
B15001,8,B15001_008E,Male,18,24,18 to 24 years,Associate's degree
B15001,9,B15001_009E,Male,18,24,18 to 24 years,Bachelor's degree
B15001,10,B15001_010E,Male,18,24,18 to 24 years,Graduate or professional degree
B15001,11,B15001_011E,Male,25,34,25 to 34 years,All
B15001,12,B15001_012E,Male,25,34,25 to 34 years,Less than 9th grade
B15001,13,B15001_013E,Male,25,34,25 to 34 years,"9th to 12th grade, no diploma"
B15001,14,B15001_014E,Male,25,34,25 to 34 years,High school graduate (includes equivalency)
B15001,15,B15001_015E,Male,25,34,25 to 34 years,"Some college, no degree"
B15001,16,B15001_016E,Male,25,34,25 to 34 years,Associate's degree
B15001,17,B15001_017E,Male,25,34,25 to 34 years,Bachelor's degree
B15001,18,B15001_018E,Male,25,34,25 to 34 years,Graduate or professional degree
B15001,19,B15001_019E,Male,35,44,35 to 44 years,All
B15001,20,B15001_020E,Male,35,44,35 to 44 years,Less than 9th grade
B15001,21,B15001_021E,Male,35,44,35 to 44 years,"9th to 12th grade, no diploma"
B15001,22,B15001_022E,Male,35,44,35 to 44 years,High school graduate (includes equivalency)
B15001,23,B15001_023E,Male,35,44,35 to 44 years,"Some college, no degree"
B15001,24,B15001_024E,Male,35,44,35 to 44 years,Associate's degree
B15001,25,B15001_025E,Male,35,44,35 to 44 years,Bachelor's degree
B15001,26,B15001_026E,Male,35,44,35 to 44 years,Graduate or professional degree
B15001,27,B15001_027E,Male,45,64,45 to 64 years,All
B15001,28,B15001_028E,Male,45,64,45 to 64 years,Less than 9th grade
B15001,29,B15001_029E,Male,45,64,45 to 64 years,"9th to 12th grade, no diploma"
B15001,30,B15001_030E,Male,45,64,45 to 64 years,High school graduate (includes equivalency)
B15001,31,B15001_031E,Male,45,64,45 to 64 years,"Some college, no degree"
B15001,32,B15001_032E,Male,45,64,45 to 64 years,Associate's degree
B15001,33,B15001_033E,Male,45,64,45 to 64 years,Bachelor's degree
B15001,34,B15001_034E,Male,45,64,45 to 64 years,Graduate or professional degree
B15001,35,B15001_035E,Male,65,999,65 years and over,All
B15001,36,B15001_036E,Male,65,999,65 years and over,Less than 9th grade
B15001,37,B15001_037E,Male,65,999,65 years and over,"9th to 12th grade, no diploma"
B15001,38,B15001_038E,Male,65,999,65 years and over,High school graduate (includes equivalency)
